frame,detected,det_conf,crop_px,score,verdict
frame_000186_UNKNOWN_-0.419,1,,103,-0.3195,UNKNOWN
frame_000187_UNKNOWN_-0.309,1,,102,-0.2686,UNKNOWN
frame_000188_UNKNOWN_-0.325,1,,102,-0.3449,UNKNOWN
frame_000189_UNKNOWN_-0.395,1,,101,-0.1982,UNKNOWN
frame_000190_UNKNOWN_-0.328,1,,99,-0.1238,UNKNOWN
frame_000191_UNKNOWN_-0.503,1,,95,-0.2627,UNKNOWN
frame_000192_UNKNOWN_-0.443,1,,99,-0.1647,UNKNOWN
frame_000193_UNKNOWN_-0.425,1,,99,-0.1996,UNKNOWN
frame_000194_UNKNOWN_-0.443,1,,101,-0.1221,UNKNOWN
frame_000195_UNKNOWN_-0.391,1,,105,-0.1605,UNKNOWN
frame_000196_UNKNOWN_-0.385,1,,104,-0.2222,UNKNOWN
frame_000197_UNKNOWN_-0.446,1,,102,-0.1786,UNKNOWN
frame_000198_UNKNOWN_-0.463,1,,102,-0.163,UNKNOWN
frame_000199_UNKNOWN_-0.393,1,,98,-0.2538,UNKNOWN
frame_000200_UNKNOWN_-0.426,1,,98,-0.3291,UNKNOWN
frame_000201_UNKNOWN_-0.410,1,,97,-0.2745,UNKNOWN
frame_000202_UNKNOWN_-0.484,1,,99,-0.1967,UNKNOWN
frame_000203_UNKNOWN_-0.466,1,,99,-0.1605,UNKNOWN
frame_000204_UNKNOWN_-0.433,1,,105,-0.2097,UNKNOWN
frame_000205_UNKNOWN_-0.368,1,,108,-0.1753,UNKNOWN
frame_000206_UNKNOWN_-0.458,1,,109,-0.119,UNKNOWN
frame_000207_UNKNOWN_-0.462,1,,109,-0.137,UNKNOWN
frame_000208_UNKNOWN_-0.459,1,,109,-0.1462,UNKNOWN
frame_000209_UNKNOWN_-0.323,1,,110,-0.1414,UNKNOWN
frame_000210_UNKNOWN_-0.391,1,,102,-0.0936,UNKNOWN
frame_000211_UNKNOWN_-0.321,1,,104,-0.1432,UNKNOWN
frame_000212_UNKNOWN_-0.348,1,,97,-0.1552,UNKNOWN
frame_000213_UNKNOWN_-0.336,1,,97,-0.1422,UNKNOWN
frame_000214_UNKNOWN_-0.362,1,,102,-0.1246,UNKNOWN
frame_000215_UNKNOWN_-0.373,1,,96,-0.1945,UNKNOWN
frame_000216_UNKNOWN_-0.528,1,,98,-0.1902,UNKNOWN
frame_000217_UNKNOWN_-0.405,1,,95,-0.16,UNKNOWN
frame_000218_UNKNOWN_-0.425,1,,95,-0.1461,UNKNOWN
frame_000219_UNKNOWN_-0.461,1,,94,-0.1573,UNKNOWN
frame_000220_UNKNOWN_-0.447,1,,90,-0.1604,UNKNOWN
frame_000221_UNKNOWN_-0.482,1,,88,-0.2174,UNKNOWN
